Treatment,ATE_age1,ATE_age2,ATE_age3,ATE_age4,ATE_age5,Mean_abs_ATE
Health condition,0.5848770659646823,0.4799988047429036,0.7454273148127042,0.6541025828019444,0.668746148436858,0.6266303833518185
I generally feel that what I do in life is worthwhile,0.5790268060256363,0.5669128091813649,0.6133600590179267,0.6348443688030629,0.5349240111849625,0.5858136108425906
Marital status,0.22133556769002372,0.5266516578317786,0.9157500863949037,0.8180132391345696,0.18685605305268105,0.5337213208207914
I feel I am free to decide how to live my life,0.4784735377271785,0.4602239377246775,0.4906411910603694,0.5434645273254572,0.4754492984951568,0.4896504984665679
Personal financial situation,0.35892388933003083,0.30919391485566283,0.5809743494590371,0.4811267125712453,0.5599519182709214,0.4580341568973795
Can't find the way because life has become so complicated?,-0.26609730028853207,-0.32961212306623366,-0.505909198278621,-0.45026356411647406,-0.5109055215725515,0.4125575414644825
I am optimistic about the future,0.46701949523078046,0.3803796339288512,0.371945264267433,0.43465821424581996,0.2713565501011663,0.3850718315548102
The value of what I do is not recognised by others?,0.3518138221966822,0.3503759332415193,0.4453601290820668,0.3817340350034719,0.37844450796342066,0.3815456854974322
Household able to make ends meet?,0.29987057306566545,0.3063716006673234,0.34714076761092016,0.35706711500736343,0.3094249450665627,0.323975000283567
Deprivation index: No. of items hhold can't afford,-0.319609202680069,-0.18301092717888245,-0.3197463288096163,-0.3542291970275775,-0.40274850791812256,0.31586883272285354
Quality of education system?,0.19976312820582098,0.20177416848602192,0.19627022507448721,0.19840989241181806,0.2487106809708166,0.20898561902979296
How much trust the police?,0.1322094002720089,0.11210128790662388,0.1017600159969767,0.10084193882935111,0.1527088645515109,0.1199243015112943
Can most people be trusted?,0.1314013139451644,0.1024897799241149,0.125798314137203,0.07777771106993026,0.12444834198593746,0.11238309221247
