,Treatment,ATE (DML),Confounders
0,Health condition,0.6553225891172527,"Age, Income quartiles, Chronic health problems?, Education completed, Employment - 7 groups"
1,I generally feel that what I do in life is worthwhile,0.6052587307418573,"A person to get support from when feeling depressed, How frequently participate in social activities?, Employment - 7 groups, Marital status, Health condition"
11,Marital status,0.5211539561966223,"Age, Household structure, How frequently participate in social activities?, No. of children, Education completed"
3,I feel I am free to decide how to live my life,0.49971952961457333,"Income quartiles, Education completed, How much trust the government?"
6,Personal financial situation,0.4913580263987223,"Employment - 7 groups, Can afford a meal with meat/chicken/fish every second day?, Household structure, Income quartiles, Education completed"
2,Can't find the way because life has become so complicated?,-0.44261341566621226,"Education completed, Employment - 7 groups, A person to get support from when feeling depressed, Age, Household size"
10,The value of what I do is not recognised by others?,0.39488420270900804,"Employment - 7 groups, How frequently participate in social activities?, A person to get support from when feeling depressed, Education completed, Marital status"
4,I am optimistic about the future,0.3887716403556505,"Personal financial situation, Access to recreational or green areas?, A person to get support from to raise emergency money, Health condition, Age, Employment - 7 groups"
5,Household able to make ends meet?,0.34195185461553823,"Employment - 7 groups, Income quartiles, Personal financial situation, Household size, No. of children"
8,Deprivation index: No. of items hhold can't afford,-0.3252829148425658,"Income quartiles, Employment - 7 groups, Can afford to keep home adequately warm?, Household size, Household structure"
9,Quality of education system?,0.2033818288174869,"Education completed, How much trust the legal system?, Income quartiles, Rural/urban living, Age"
7,How much trust the police?,0.11111074331888648,"Neighbourhood problems - crime, violence or vandalism, How much trust the government?, How much trust the legal system?, Rural/urban living, Age"
12,Can most people be trusted?,0.10851626246231394,"Neighbourhood problems - crime, violence or vandalism, How much trust the press?, How much trust the government?, Education completed, Rural/urban living"
