,Treatment,ATE_female,ATE_male
0,Health condition,0.697529028552613,0.6083492013184042
11,Marital status,0.6339337558966998,0.35138271596246184
1,I generally feel that what I do in life is worthwhile,0.6124758884945729,0.5957944091134468
3,I feel I am free to decide how to live my life,0.5266945311108726,0.464300379631692
6,Personal financial situation,0.505398984907723,0.48139218113635707
2,Can't find the way because life has become so complicated?,-0.4497820273727591,-0.4332775585438089
10,The value of what I do is not recognised by others?,0.41193536497257455,0.3748731540709649
4,I am optimistic about the future,0.39906485497238275,0.37802561962562375
5,Household able to make ends meet?,0.35071582185490513,0.33033744297999057
8,Deprivation index: No. of items hhold can't afford,-0.2943789097658742,-0.3664347975915776
9,Quality of education system?,0.19705478110344465,0.2097261342466794
12,Can most people be trusted?,0.13345029462342506,0.0771909558385051
7,How much trust the police?,0.10716548416551941,0.11583080914624855
