Treatment,ATE_q1,ATE_q2,ATE_q3,ATE_q4,Mean_abs_ATE
Health condition,0.6638867585268073,0.6487834571055568,0.6371799508465354,0.6514044939718291,0.6503136651126822
I generally feel that what I do in life is worthwhile,0.5978923215674472,0.5677586604959659,0.655612811689239,0.5307833424417199,0.588011784048593
Personal financial situation,0.7071261959323216,0.6119210552146077,0.37986711611573654,0.32770645972025747,0.5066552067457308
I feel I am free to decide how to live my life,0.4788466336597086,0.56755959300357,0.5113796917480844,0.43314721266814793,0.4977332827698777
Marital status,0.53450436278679,0.497565004854291,0.4672324805147223,0.401769149551372,0.47526774942679384
Can't find the way because life has become so complicated?,-0.5480249657195362,-0.4329739225585172,-0.381315621932643,-0.35082129429926745,0.42828395112749096
I am optimistic about the future,0.45642833113409065,0.3908662302997117,0.3994408380396983,0.30205782732499475,0.38719830669962385
The value of what I do is not recognised by others?,0.45470942326586705,0.37397217165773977,0.38102960348064485,0.3148960843551052,0.3811518206898392
Household able to make ends meet?,0.4645191959077284,0.3276117289517302,0.3108063047877847,0.26753544309665944,0.3426181681859757
Deprivation index: No. of items hhold can't afford,-0.407757519968281,-0.2913430096548515,-0.28119163837558503,-0.3313472883474935,0.32790986408655276
Quality of education system?,0.26773747784449853,0.21090451865895776,0.16198900987887477,0.17784648814111748,0.20461937363086213
How much trust the police?,0.11835930209374812,0.11496116793146438,0.12798310383453337,0.08825324347241548,0.11238920433304034
Can most people be trusted?,0.15799309086710434,0.11369503175333939,0.0921564356923632,0.06831515139019118,0.10803992742574953
