Questions,Value,Direction
Health condition,0.165073617053516,0.00940527429874159
I generally feel that what I do in life is worthwhile,0.16215936587899035,-0.014434561858432848
Household able to make ends meet?,0.15366942393734637,0.0019592842503255363
How satisfied with education?,0.13748216407816793,-0.010101504360745606
Deprivation index: No. of items hhold can't afford,0.11835302088619543,0.0025727419377548455
Quality of education system?,0.11244255508779691,-0.0008124296191699004
Can't find the way because life has become so complicated?,0.10308776462805466,0.004392215726275168
I feel I am free to decide how to live my life,0.1005347314065326,-0.005081081038994301
I am optimistic about the future,0.0839356122594394,0.010655294129370134
How much trust the police?,0.05194128318759211,-0.004649691321578611
Personal financial situation,0.03451414277846862,0.004683257928937728
Can most people be trusted?,0.03235955716694593,-0.001746268086677279
Quality of health services?,0.031180709213611282,-0.00050354101750523
The value of what I do is not recognised by others?,0.030004998846932928,-0.00023543645621886285
Quality of child care services?,0.0284684250947194,-0.003694496337054217
I seldom have time to do the things I really enjoy,0.02635699216651066,-0.003430925122763236
Feel left out of sociey?,0.02422278300037831,-0.0009628292476683058
Quality of long term care services?,0.021585841500533776,0.0005320191093463606
Quality of public transport?,0.01935278592701799,-0.001373459622493828
Marital status,0.018246781546103787,-0.0020559807882571273
Phone/internet contact with other relatives,0.01604908383650999,-0.0003218769826749996
Neighbourhood problems - traffic,0.016034610095767204,-0.00020239468937949655
People look down on me because of my job situation or income?,0.016007607005279992,0.00013054893266253365
Access to recreational or green areas?,0.015196385603880315,-0.001342756313469779
Quality of social/municipal housing?,0.014593452205489849,0.000965764627113356
Quality of state pension system?,0.01457270033917928,-0.0009183658268778332
Neighbourhood problems - quality of drinking water,0.013278474142647597,-0.002150661153180854
How much trust the legal system?,0.01284385512665774,0.002256504836495228
Direct contact with other relatives,0.012732908557615904,-0.0008391635317070826
A person to get support from when feeling depressed,0.01265591048139808,-0.0012870175141513867
Difficult to see a doctor because of cost?,0.012377862506783499,0.0009483184415001295
How much trust the local authorities?,0.011885532340382072,0.00015121472850026984
Neighbourhood problems - litter or rubbish,0.01187436795816739,-0.00018161781831370892
Access to public transport?,0.011605429752331834,-0.000529790784623958
Neighbourhood problems - air quality,0.011479039597763823,0.00048588870308890363
Neighbourhood problems - noise,0.011129642202561935,-0.0013978635610910671
How many hours per week would you prefer to work at present?,0.010933517966276066,-0.0003744677892520126
Phone/internet contact with parents,0.010612876513641947,-0.0009372278555502176
Financial situation of your household compared to 12 months ago?,0.010374915960961167,8.533057479389011e-05
How much trust the parliament?,0.010305380668065047,0.00042309210509237146
How often care for your children?,0.010236014508000163,-0.00044702915126836653
Feel close to people in the area where I live,0.009729487007280784,-0.00015109874171631733
Household financial expectations for th 12 months?,0.00955394599542396,-0.000684781692378531
Likelihood of leaving accom within 6 months,0.009468412448009908,-0.0002256819623269126
A person to get support from to raise emergency money,0.009443662958106731,0.0008129678580289046
No. of problems with accommodation,0.00941601530435097,0.0012624705245524845
How frequently take part in sports or exercise?,0.00928195157561754,0.00039053113587654244
Household size - over 18,0.00881650525087808,-1.1670403218220723e-05
Difficult to see a doctor because of lack of time?,0.008616039008815836,-0.0002450018372105021
No. of rooms in accommodation,0.008458648271519478,-0.0009090655832988417
"Can afford to buy new, rather than second-hand, clothes?",0.008440700171246955,-0.0023066959878086084
Difficult to see a doctor because of distance?,0.008276277764831048,-0.0006828297303249288
No. of children,0.007851744400351805,-0.00030206021416016675
How much trust the government?,0.007646972226819017,-0.0006843540376922378
A person to get advice from about a personal/family matter,0.007616255432910839,-2.7477171114308394e-06
Household structure,0.007474635630246872,-1.1083030101621793e-05
Access to banking services?,0.007462426891258063,0.0003461675635788677
How much trust the press?,0.007320839960901468,-0.0010754380440640198
How often cook and doing housework?,0.007283690545848174,-0.0007438791556546328
As much time as would like on own hobbies/interests?,0.007260905311936886,0.00030856443725139774
How much tension between Management and Workers?,0.007158137474719255,-0.0005779566492115319
How frequently use the Internet other than for work?,0.006916802963026097,0.0006166289056283266
"Access to cinema, theatre and cultural centre?",0.00669249485180579,-0.0012456332004136608
"Utility bills, such as electricity, water, gas",0.006583374391345342,-0.00027153349074363357
Phone/internet contact with neighbours,0.006543703031608452,-0.00012079524186394409
Direct contact with neighbours,0.006463350339019791,-0.00042461795460200017
Tenure,0.006459261281474371,0.00021299183467001254
Direct contact with parents,0.0063560806658421905,-0.0005169931532357237
Can afford to pay for a week's annual holiday away?,0.006298206822080852,-0.0006498691065699813
Difficult to see a doctor because of waiting time?,0.00609481689340655,0.0002432639918965364
Access to postal services?,0.0060731029558143005,-0.00032382286974937157
How much tension between Men and Women?,0.006060380527344821,-0.00031002343121602636
The share of housework you do is?,0.006003541983438179,5.329092722595327e-05
Education completed,0.0059997869384758535,0.000765058778051152
Difficult to see a doctor because of delay in getting appointment?,0.005998076204416191,0.0005733279641168405
Can afford a meal with meat/chicken/fish every second day?,0.005991074579595341,-0.0002998903754625818
Rural/urban living,0.005905564643011026,-0.00046810258264086006
As much time as would like with others (not family)?,0.00588134584920469,-0.0008239440967076692
Income quartiles,0.005597246268335453,0.0001372617182057433
Country_Kosovo,0.005504039330998912,0.002315677527438229
As much time as would like with family members?,0.005254571874679682,-3.536525393321588e-05
How frequently attend religious services?,0.005117755007542842,-0.0004864264863610547
How much tension between groups with different sexual orientation?,0.004974678301251956,-0.0007335355603424232
Phone/internet contact with children,0.004938674804508842,-0.0003927600451932997
Age,0.004825993059914046,-0.0011256097214887948
"Neighbourhood problems - crime, violence or vandalism",0.004803390344764328,-5.5424459927121145e-05
Direct contact with children,0.004799453637664678,0.0004986379359589041
Can afford to replace any worn-out furniture?,0.004661650172982464,-0.00033315110837326946
How frequently participate in social activities?,0.004632988381845543,-0.000512933227650373
Employment - 7 groups,0.0044402572542396246,3.612977212124186e-05
How much tension between Poor and Rich?,0.004364009602463943,-0.00027651785352363544
A person to get support from to help around house ,0.004267509190787147,0.0001483597732258003
How much tension between different religious groups?,0.0042105325336769745,-0.0010757925375975874
As much time as would like on voluntary work?,0.004107781023726099,8.293590381651465e-05
A person to get support from when looking for a job,0.004091309322953106,-0.0008582802079211626
How much tension between different racial/ethnic groups?,0.0039086991379197866,-0.0005965979481797959
Country_Italy,0.003844339587921458,0.00017478641398844906
How often care for elderly or disabled relatives?,0.00362777761833312,-0.0003252968123544373
How much tension between Old and Young people?,0.0035261749985379125,9.04995533391392e-05
Payments for consumer loans/credit cards,0.0035008954214035735,3.149731907478562e-05
Can afford to have friends or family for a drink/meal at least once a month?,0.0034375793381553224,0.0004253130778233871
Problems with accommodation - space,0.003415556992221321,0.00030160469916155756
Gender,0.003405426583107029,0.00012553567928156667
Country_Czech Republic,0.0032276130308764544,8.641429323336674e-05
Long term care used in 12 months - don't know,0.0031845582983667914,0.0010396279639318172
Problems with accommodation - damp or leaks,0.0031219981623112646,-0.00010399478907865538
Household size,0.0030662739379195758,-2.1547720306796287e-05
Can afford to keep home adequately warm?,0.002938280622210145,-0.0002897963775123194
Country_Portugal,0.0028865635998135534,0.00015384359818462358
Country_Turkey,0.0028598514219038266,-0.0005024578431893863
Country_Germany,0.0027673655479299687,9.647944567355157e-05
Volunteering frequency,0.0026686834552404103,-0.00024457770453793
Chronic health problems?,0.0026229320784169,-0.0007254626229163637
Education - 3 groups,0.0025550117822658717,-0.0001904096869636
Nobody used long term care in 12 months,0.0025360830889590174,-8.411136687078392e-05
Problems with accommodation - rot in windows etc.,0.0021264433805570694,0.000206815067676871
Child care used in 12 months - don't know,0.0020861934218956058,0.0007586330259122348
Rent/mortgage payments for accommodation,0.0020510259809920087,-0.00024777921464431935
DV: Rural/urban living,0.0019920369786330535,-0.00017738375825546827
Country_Macedonia (FYROM),0.00195784425098163,-7.789068093484092e-05
Country_Serbia,0.0018804094088314231,-0.00012372443641703442
Country group,0.001856315045307377,0.00018909870109571527
Nobody used child care in 12 months,0.0017619535000447046,-0.0002798332305838938
Country_Sweden,0.00164744409648707,-0.00015926374188481601
Problems with accommodation - no outside space,0.0015799101876387243,-0.00033755177062194035
Payments for informal loans from friends/relatives,0.0015727546347438146,-0.00016748917515376546
Someone close outside household used long term care in 12 months,0.0013927073122603926,3.6540870408849826e-05
I or someone else in household used child care in 12 months,0.0013889790507779635,-5.495832362379386e-05
Country_Hungary,0.0013826330239255593,-0.0002497338047232133
Country_France,0.001368682719244605,-7.924715667974785e-05
I or someone else in household used long term care in 12 months,0.0013508079736235963,0.0001369378493695582
Country_Denmark,0.0012571602787854476,-0.0003187553619256858
Someone close outside household used child care in 12 months,0.0012320823136595606,-0.00018361550373723534
Problems with accommodation - no bath/shower,0.0010946574232473514,0.00019325908730031098
Country_Slovenia,0.0010616766287671739,0.00021933570372051003
Country_Iceland,0.001040665574519126,-6.394238681259536e-05
Country_Finland,0.0010391449849657024,-0.00032589872397296825
Problems with accommodation - no toilet,0.0010059978764799444,9.440556045838465e-05
Country_Malta,0.0010051161020075447,0.0003081689296683067
Country_Slovakia,0.000986049431537801,-0.00024156315782387642
Country_Poland,0.0009313532241878774,-0.0004124547145072376
Country_Croatia,0.0009249227202277312,-0.0001072627071983699
Citizenship - Country,0.0008297654856111242,-3.0661545552450556e-05
Country_Romania,0.0008008105370193978,9.850521233769108e-05
Country_Montenegro,0.0007028069657417576,-0.0001418237335507667
Country_Cyprus,0.0006739114776432604,-0.0003332833539800416
Country_Greece,0.0006681018757206418,9.206392137257738e-05
Country_Luxembourg,0.0006502951912549543,0.0002498596397700991
Country_Estonia,0.0006205864948084119,7.098805062231175e-05
Country_Spain,0.0005518973192519985,6.433671260811007e-05
Child care used in 12 months - refusal,0.00048088254765009907,0.0004344682432776633
Citizenship - A non-EU country,0.00044817853926963495,2.4260170326428635e-05
Country_Ireland,0.00043622179441365637,0.00010240082657994424
Citizenship - Another EU member,0.00041489114877493955,-6.673005723076195e-05
Country_UK,0.00039003742611853963,-0.0001508348756339698
Country_Belgium,0.00035910463253783023,-5.4441158442896304e-05
Country_Lithuania,0.0003327189332569622,0.0001230054342127821
Country_Latvia,0.00032859274912510033,0.0002086604630215761
Country_Netherlands,0.00027541863685971436,0.0001047805189041719
Country_Bulgaria,0.00020191267431921735,-1.981333184836322e-05
Long term care used in 12 months - refusal,4.701197244193323e-06,-4.698572886088606e-06
