Questions,Value,Direction
Health condition,0.23746107695360633,0.012081790212176854
Quality of education system?,0.18648018371951489,0.0012662114672165228
Household able to make ends meet?,0.16949596951484927,-0.00048543142773755743
Deprivation index: No. of items hhold can't afford,0.14670457255425895,0.005190622134785963
How much trust the police?,0.08252541259198946,-0.006969624579004406
Feel left out of sociey?,0.07745276029925395,-1.8182565990317127e-05
Personal financial situation,0.06351379562634572,0.006885906866623558
I seldom have time to do the things I really enjoy,0.04851230840909828,-0.004668153879564656
People look down on me because of my job situation or income?,0.03935063338759262,-0.0007591089426744432
Quality of health services?,0.03814006114573973,0.003250088404659865
Can most people be trusted?,0.03787377823046232,0.0004330663224382583
Quality of child care services?,0.037750394091974414,-0.006892473500202662
Access to recreational or green areas?,0.02887593708920183,-0.00020994695211566856
Quality of long term care services?,0.02693841078466094,0.0030288352131920015
Marital status,0.024594111401644473,-0.0028404574645614937
Feel close to people in the area where I live,0.023232255282711573,-0.002189413247324573
Quality of state pension system?,0.02230500421178165,-0.0011750450817065022
Quality of public transport?,0.02146488703008872,-0.0013418012625707487
Likelihood of leaving accom within 6 months,0.021436805488472904,-0.0006233295420380817
Phone/internet contact with other relatives,0.020921168440555336,-0.002302415840739766
How much trust the legal system?,0.019064687880661138,0.001592058883824896
Neighbourhood problems - traffic,0.01828999719092415,0.0003637407505891919
A person to get support from when feeling depressed,0.016919265386040053,-0.0011795332312290255
How much trust the local authorities?,0.016917393243025897,0.00013795130272054504
Household financial expectations for th 12 months?,0.015065781297178065,-0.0009566391189009301
No. of rooms in accommodation,0.014814360571500403,-0.0016792506432079337
Access to public transport?,0.014511261505603397,-0.00025267024290612146
Neighbourhood problems - air quality,0.014203503816666645,-0.0005278344493828051
Financial situation of your household compared to 12 months ago?,0.013760617872593871,-0.0006190571016396619
Quality of social/municipal housing?,0.013251301432131692,-0.0006524442176679699
Neighbourhood problems - quality of drinking water,0.013063236868350757,-0.0014989102496233754
Direct contact with other relatives,0.012941364342839903,-0.0013036603656888448
How much trust the government?,0.012755865143816944,0.0003891350605582803
Difficult to see a doctor because of cost?,0.012465492815875159,0.0018973174904077087
"Utility bills, such as electricity, water, gas",0.012406694413841528,0.0004202640477619128
Difficult to see a doctor because of lack of time?,0.012228037772181989,0.00034851869441123275
Neighbourhood problems - litter or rubbish,0.011983600646954268,0.0005498952664298022
How frequently take part in sports or exercise?,0.011868108830453345,3.300960341713691e-05
Direct contact with neighbours,0.011823234097278092,0.0008061286293024212
Neighbourhood problems - noise,0.011573213331105496,-0.0007170117002046365
How often care for your children?,0.011403251892336664,-0.00040509977203270027
How often cook and doing housework?,0.011051564229838235,-0.0012046005812547146
No. of problems with accommodation,0.010866305646887457,0.0011888950593059284
Phone/internet contact with parents,0.010288555013641548,-0.0009218411247697576
