Questions,Value,Direction
How satisfied with family life?,0.14046648146445193,-0.045360273991746865
How satisfied with present standard of living?,0.12272747506251569,-0.004196210206863272
How satisfied with social life?,0.10633377837647985,-0.014835689314915563
Health condition,0.05690226061864696,-0.007381078323074185
How satisfied with health?,0.03850751858794262,-0.007921669443787535
I generally feel that what I do in life is worthwhile,0.03150676852107083,-0.003787207198150974
How satisfied with accommodation?,0.026550245332781608,-0.00046488398203811096
I am optimistic about the future,0.025299116451554724,0.0005357242822043374
I feel I am free to decide how to live my life,0.02060861947131202,-0.0019761259747827654
How satisfied with education?,0.009190361554704323,0.00031314712085113504
Neighbourhood problems - traffic,0.00906952385301968,0.000958790717344626
Personal financial situation,0.008802727480935219,-0.0020466702106162276
Can't find the way because life has become so complicated?,0.00877805711421184,-0.0006258457930731074
Marital status,0.008265018453068021,-0.002720060575553007
How much trust the police?,0.007396445927201645,0.002243059341659531
Gender,0.007243138280036502,0.000744429729816592
Country_Kosovo,0.006495313803242928,-0.006495313803242928
Chronic health problems?,0.006105832084594693,0.0021356648954829415
Can most people be trusted?,0.005593558576367654,0.0004536160199827133
Country_Cyprus,0.005582391697522423,0.00031711198169844456
Phone/internet contact with parents,0.005329693463190107,-0.000632451505180066
Financial situation of your household compared to 12 months ago?,0.005298133548402075,-0.0013236311018892555
"Can afford to buy new, rather than second-hand, clothes?",0.005232594769613095,-0.0007840615359441969
Country_Slovakia,0.005147630239294799,-0.0018586202645129166
Quality of health services?,0.005026850658479557,0.0010316144380269159
Country_Romania,0.004941733644741513,-0.0010222768922240897
Country_UK,0.00490272604016557,0.0015496216742089985
Country_Greece,0.0048987215035383985,-4.347438565035137e-06
A person to get support from to raise emergency money,0.004859997302565564,-0.0014036980352032562
Country_Ireland,0.0047639967037863395,0.001459466630362057
Can afford to have friends or family for a drink/meal at least once a month?,0.004762358421346271,-0.001497744336682416
Country_Poland,0.004686769856554074,0.0012564586145969497
Household size - over 18,0.004569347409387265,0.0005445071688551281
Volunteering frequency,0.0045230521937481795,-0.0004625882868244292
I seldom have time to do the things I really enjoy,0.004509578689555742,0.0007241141498383233
Household financial expectations for th 12 months?,0.004382267279699489,-0.000956333529982612
Neighbourhood problems - air quality,0.004381950216932552,-0.0006577494128111338
How often care for your children?,0.004362238784657152,6.228559765996421e-05
