Questions,Value,Direction
Health condition,0.20092992,-0.00013150436
I am optimistic about the future,0.1989369,-0.005288072
Personal financial situation,0.14788897,0.017047342
I generally feel that what I do in life is worthwhile,0.12060219,0.008265161
Quality of health services?,0.107660405,0.0043079387
Marital status,0.10291509,-2.86527e-05
Can't find the way because life has become so complicated?,0.10191988,0.0087324865
Deprivation index: No. of items hhold can't afford,0.085875936,0.004364044
Quality of public transport?,0.068517886,0.00402876
I feel I am free to decide how to live my life,0.0630861,-0.0018192694
Access to recreational or green areas?,0.057353556,0.0022352433
Household able to make ends meet?,0.056265607,0.009199091
I seldom have time to do the things I really enjoy,0.043653578,0.0005508732
Country_Kosovo,0.043552753,0.0052040834
How much trust the legal system?,0.042556684,0.005815973
No. of problems with accommodation,0.040582467,-0.0024089275
How much trust the police?,0.03957652,0.0036758066
Neighbourhood problems - traffic,0.03955391,-0.0017578282
"Utility bills, such as electricity, water, gas",0.038919758,0.001991145
Can most people be trusted?,0.03879226,-0.0069810394
Neighbourhood problems - litter or rubbish,0.03864872,0.004002883
Phone/internet contact with parents,0.03707117,0.004887874
How frequently participate in social activities?,0.036989406,0.002021776
Quality of social/municipal housing?,0.035897464,0.00038158812
Quality of child care services?,0.03166002,0.004574537
Phone/internet contact with other relatives,0.030295344,0.0002122875
Quality of long term care services?,0.029861758,-0.0014830026
How frequently attend religious services?,0.029733112,-0.0048858384
Country_Poland,0.028934449,0.00042547254
The value of what I do is not recognised by others?,0.02878623,-0.00070662017
Access to banking services?,0.02865034,-0.0016401263
How many hours per week would you prefer to work at present?,0.028585888,0.0067802207
"Access to cinema, theatre and cultural centre?",0.02755022,-0.0025099926
Rural/urban living,0.026246281,-0.00037944317
"Can afford to buy new, rather than second-hand, clothes?",0.026165841,0.0029535773
As much time as would like on own hobbies/interests?,0.02516639,-0.0023842088
Can afford to pay for a week's annual holiday away?,0.025095254,0.0013835928
How often care for your children?,0.023982113,0.0012099518
Neighbourhood problems - air quality,0.023519898,-0.00023790928
Can afford a meal with meat/chicken/fish every second day?,0.02347128,-0.0017057172
Phone/internet contact with neighbours,0.022060392,-0.00072077813
Quality of education system?,0.019720098,-0.0015425488
Difficult to see a doctor because of distance?,0.01962562,0.0004422971
Likelihood of leaving accom within 6 months,0.01831609,-0.000119839264
Quality of state pension system?,0.016151955,-0.0003449785
Country_Cyprus,0.015984545,0.0041455114
How much trust the press?,0.015426227,-0.00035751014
How much tension between Poor and Rich?,0.015197126,0.0014356927
Feel close to people in the area where I live,0.015161751,-9.4412135e-05
A person to get support from to raise emergency money,0.014614216,-0.0021619343
Neighbourhood problems - noise,0.013755909,-0.0001620545
The share of housework you do is?,0.013408917,-0.0004307078
No. of children,0.012703914,-0.003686875
Country_Montenegro,0.012453066,-0.0008275267
Difficult to see a doctor because of waiting time?,0.012418264,0.0020389666
Age,0.0120081585,-0.0015033165
Direct contact with other relatives,0.0119423615,0.0004229672
No. of rooms in accommodation,0.01190134,-0.0029260197
How much trust the parliament?,0.011038699,0.00065184524
How much trust the government?,0.010695689,0.0006809909
Income quartiles,0.010143014,0.0011293686
Country_Czech Republic,0.010079342,0.0010564227
Access to public transport?,0.010051782,-2.7527629e-05
How much tension between different religious groups?,0.009042017,0.0003500349
Tenure,0.008774668,-0.00012455022
Rent/mortgage payments for accommodation,0.008743385,0.00097259774
Difficult to see a doctor because of cost?,0.008579147,-0.0001179081
Can afford to have friends or family for a drink/meal at least once a month?,0.008301217,-0.00054089725
Gender,0.008145457,0.000901785
Employment - 7 groups,0.007789563,0.00085815863
Problems with accommodation - rot in windows etc.,0.007490088,-0.0009781423
People look down on me because of my job situation or income?,0.0073111136,0.0011915697
How much tension between Management and Workers?,0.0070861736,0.00043191918
How much tension between groups with different sexual orientation?,0.006868553,0.00028626967
Access to postal services?,0.006797063,-0.0017620212
Country_Portugal,0.006494309,-0.0021158971
Country_Slovenia,0.006452318,-4.079251e-05
A person to get support from to help around house ,0.006335324,0.0025023974
Problems with accommodation - space,0.0060874824,-4.725336e-05
How much trust the local authorities?,0.0060556275,0.0003402257
A person to get support from when looking for a job,0.0059541874,-0.00026609705
Neighbourhood problems - quality of drinking water,0.005793522,7.474498e-05
Feel left out of sociey?,0.0056069368,0.0016892198
Education completed,0.0055695013,-0.0005818194
A person to get support from when feeling depressed,0.0053747096,7.270157e-05
Problems with accommodation - no outside space,0.00511853,0.00041205145
Country_Macedonia (FYROM),0.0043574823,-0.0005378911
How frequently take part in sports or exercise?,0.004120769,0.00077203294
How often care for elderly or disabled relatives?,0.0040487237,0.00046751325
Can afford to replace any worn-out furniture?,0.0037837625,-0.00011637356
Problems with accommodation - no bath/shower,0.0037332352,-0.00049726944
Country_Croatia,0.00371309,0.0001586277
Difficult to see a doctor because of lack of time?,0.003693363,5.5678007e-05
How often cook and doing housework?,0.003672041,-0.00066410075
Difficult to see a doctor because of delay in getting appointment?,0.0036480448,-0.00023911207
Payments for informal loans from friends/relatives,0.0034206184,-0.00038040828
Country_Lithuania,0.0033182655,-2.0255302e-05
Household size - over 18,0.003188175,0.00022557168
Phone/internet contact with children,0.0031080374,-0.0002845716
Chronic health problems?,0.0030512079,0.0002841997
How frequently use the Internet other than for work?,0.002996818,-0.00027708794
Household size,0.002906447,0.0002806873
Can afford to keep home adequately warm?,0.002901808,0.0009617912
How much tension between Old and Young people?,0.0027563977,-5.0236504e-05
How much tension between different racial/ethnic groups?,0.0026621758,0.0010068964
Country_Malta,0.0024719522,0.0006224546
Household structure,0.0024345422,-0.00031623233
How much tension between Men and Women?,0.0023514724,-0.00012380097
As much time as would like with family members?,0.0021191423,3.9358427e-05
Direct contact with children,0.0020831611,-1.3997336e-06
Citizenship - Country,0.001740682,3.3821827e-05
Citizenship - Another EU member,0.0015769794,-3.1923282e-05
Volunteering frequency,0.0015007674,0.00021382283
Direct contact with parents,0.0014518611,0.00027715543
As much time as would like on voluntary work?,0.0014022182,0.00037273116
Nobody used child care in 12 months,0.0013077742,4.5851975e-05
Someone close outside household used child care in 12 months,0.0012994693,-0.00012554134
Country_Serbia,0.0012148623,-0.00010448552
"Neighbourhood problems - crime, violence or vandalism",0.0011480693,0.000112389345
As much time as would like with others (not family)?,0.0011314979,-0.000119558434
Country_Turkey,0.0010596104,7.8128585e-05
A person to get advice from about a personal/family matter,0.0009868196,2.9181738e-05
Direct contact with neighbours,0.00093577435,-0.00010865863
Problems with accommodation - no toilet,0.0008971294,0.00018628794
Country_Hungary,0.0008877309,-0.00036024998
Country group,0.0008029965,-0.00015781817
Nobody used long term care in 12 months,0.0007271874,8.5432126e-05
Financial situation of your household compared to 12 months ago?,0.0006441456,-5.254062e-05
Household financial expectations for th 12 months?,0.0004060488,-6.228119e-05
Payments for consumer loans/credit cards,0.00035674815,0.00013217927
Country_Estonia,0.00034434107,5.6162084e-05
Long term care used in 12 months - don't know,0.00024759755,-0.00013682657
Education - 3 groups,0.0,0.0
Citizenship - A non-EU country,0.0,0.0
DV: Rural/urban living,0.0,0.0
Problems with accommodation - damp or leaks,0.0,0.0
I or someone else in household used child care in 12 months,0.0,0.0
I or someone else in household used long term care in 12 months,0.0,0.0
Someone close outside household used long term care in 12 months,0.0,0.0
Child care used in 12 months - don't know,0.0,0.0
Child care used in 12 months - refusal,0.0,0.0
Long term care used in 12 months - refusal,0.0,0.0
Country_Belgium,0.0,0.0
Country_Bulgaria,0.0,0.0
Country_Latvia,0.0,0.0
Country_Italy,0.0,0.0
Country_Ireland,0.0,0.0
Country_Iceland,0.0,0.0
Country_Germany,0.0,0.0
Country_Greece,0.0,0.0
Country_Finland,0.0,0.0
Country_France,0.0,0.0
Country_Denmark,0.0,0.0
Country_Luxembourg,0.0,0.0
Country_Netherlands,0.0,0.0
Country_Romania,0.0,0.0
Country_Slovakia,0.0,0.0
Country_Spain,0.0,0.0
Country_Sweden,0.0,0.0
Country_UK,0.0,0.0
