Questions,Value,Direction
Health condition,0.20936228,-0.010412855
I generally feel that what I do in life is worthwhile,0.17594293,-0.025062006
I feel I am free to decide how to live my life,0.15848117,-0.0020298853
Can't find the way because life has become so complicated?,0.14188531,0.0005408211
Household able to make ends meet?,0.1339337,-0.022266386
Can most people be trusted?,0.08495091,-0.0046056006
Quality of education system?,0.08383696,0.0032908255
The value of what I do is not recognised by others?,0.07465637,-0.0016167917
Quality of public transport?,0.07275034,0.00040208138
Marital status,0.07176088,0.0007634691
I am optimistic about the future,0.06993112,-0.0058111725
I seldom have time to do the things I really enjoy,0.06589589,0.0026591495
Phone/internet contact with parents,0.05998541,-0.0025258323
Quality of long term care services?,0.052033886,0.005799438
How much trust the police?,0.04868737,-0.0045785676
Access to recreational or green areas?,0.048506767,-0.0027620927
As much time as would like on voluntary work?,0.04719982,-0.0008730817
Deprivation index: No. of items hhold can't afford,0.04717434,-0.0016254904
Personal financial situation,0.04081783,0.0014701225
Quality of state pension system?,0.033709425,0.0019268824
How frequently participate in social activities?,0.033117387,-0.0005144154
Quality of health services?,0.03285113,-0.00030238586
How many hours per week would you prefer to work at present?,0.03084749,0.0048349844
"Utility bills, such as electricity, water, gas",0.025505858,-0.00075820286
No. of problems with accommodation,0.025014112,-0.0020068006
Neighbourhood problems - noise,0.02286605,-0.002717139
Difficult to see a doctor because of distance?,0.022064323,0.0026725468
Feel left out of sociey?,0.020533225,-0.0010777091
Direct contact with other relatives,0.020245207,-0.0013837125
A person to get support from to raise emergency money,0.019959982,0.0052380734
Rural/urban living,0.0193619,-0.0011608049
Phone/internet contact with other relatives,0.01927761,-0.0009346918
Feel close to people in the area where I live,0.018947491,0.000825007
How often cook and doing housework?,0.018689109,-0.002298727
A person to get support from when feeling depressed,0.018378833,-1.7181821e-05
Chronic health problems?,0.017339353,0.0008637824
Quality of social/municipal housing?,0.015813904,0.0018918259
How much trust the press?,0.015526096,0.0016179681
Country_Poland,0.015219222,-0.0019018938
Country_Czech Republic,0.0151612,0.001812518
Nobody used long term care in 12 months,0.014684976,-0.0002834286
How frequently attend religious services?,0.014272216,-0.00012489967
The share of housework you do is?,0.014167394,-0.00047631617
Quality of child care services?,0.013816662,0.00024446385
As much time as would like on own hobbies/interests?,0.013713255,0.0002164726
As much time as would like with family members?,0.0135337915,-0.00036065534
How much trust the legal system?,0.013287983,0.0016271007
"Access to cinema, theatre and cultural centre?",0.012174273,-0.0003017837
How much tension between Poor and Rich?,0.011864035,-0.0003668847
How often care for your children?,0.01165923,-0.00026594376
Neighbourhood problems - traffic,0.011302127,-0.00043889362
No. of rooms in accommodation,0.010754473,-0.0007562902
Household structure,0.010734065,0.00015948738
Direct contact with parents,0.010521004,-0.0010492568
Long term care used in 12 months - don't know,0.01020765,0.003702628
How much tension between Management and Workers?,0.009965587,-0.00048593237
How much trust the government?,0.009338344,0.0015903179
Direct contact with children,0.008912428,-0.00034303687
Financial situation of your household compared to 12 months ago?,0.008775888,6.807511e-05
Country_Kosovo,0.008209137,0.00044626888
Difficult to see a doctor because of lack of time?,0.008078543,-3.8881364e-05
"Neighbourhood problems - crime, violence or vandalism",0.007389809,-0.00055797555
How much trust the local authorities?,0.0070853694,0.0023549523
Country_Cyprus,0.0069280923,-0.00080023904
People look down on me because of my job situation or income?,0.006838564,0.00055424846
Problems with accommodation - space,0.0067466735,0.0001912536
Phone/internet contact with children,0.006732155,0.00045517454
No. of children,0.006613753,0.00062177324
How much trust the parliament?,0.0065923375,0.0016786186
Access to public transport?,0.006413583,0.0006451025
Difficult to see a doctor because of cost?,0.006396231,0.00019398946
Country_France,0.0062325476,0.0005972655
Age,0.006115216,-0.0011156996
Can afford to keep home adequately warm?,0.0051912316,-0.0009885423
Access to banking services?,0.005135083,0.0012516897
Difficult to see a doctor because of waiting time?,0.0043897456,0.0006938428
Country_Turkey,0.004338295,8.910314e-05
Country_Montenegro,0.004283773,-0.0010082205
Tenure,0.0042575,-0.00025500363
Access to postal services?,0.0042172866,-0.00018351818
Income quartiles,0.0038281297,0.0010416203
Education completed,0.0037154055,0.0017861372
How frequently take part in sports or exercise?,0.0036820557,-0.00090238376
A person to get support from when looking for a job,0.003669874,2.713102e-05
Likelihood of leaving accom within 6 months,0.003560242,-0.00030556452
A person to get support from to help around house ,0.0034425557,0.0001870286
Employment - 7 groups,0.003398361,-5.002963e-05
How often care for elderly or disabled relatives?,0.0031092938,0.00024834828
How frequently use the Internet other than for work?,0.0030958622,0.00027649465
Can afford a meal with meat/chicken/fish every second day?,0.0027374604,0.00036861002
"Can afford to buy new, rather than second-hand, clothes?",0.0025950458,0.00014959267
Volunteering frequency,0.002525719,2.1509137e-05
Household size - over 18,0.0025147977,2.918581e-05
Country_UK,0.0021860094,0.00055815256
Neighbourhood problems - quality of drinking water,0.0020773078,0.00010188817
Household financial expectations for th 12 months?,0.0018959068,0.0005557231
Payments for informal loans from friends/relatives,0.0018522514,-1.875679e-05
Nobody used child care in 12 months,0.0018506914,-0.000771344
How much tension between Old and Young people?,0.0018431395,0.0006525345
Neighbourhood problems - air quality,0.0018002924,-0.00018741793
I or someone else in household used child care in 12 months,0.0016497377,0.00012962632
Problems with accommodation - no outside space,0.0016393499,-0.00052603794
Neighbourhood problems - litter or rubbish,0.0015997323,-0.00023336976
Country_Italy,0.0014184613,-0.00019016501
How much tension between Men and Women?,0.0014026142,0.000180068
A person to get advice from about a personal/family matter,0.0013726767,0.0004364742
Country_Sweden,0.0013641776,-0.00020912322
Difficult to see a doctor because of delay in getting appointment?,0.0011122199,2.3892895e-05
Payments for consumer loans/credit cards,0.0010764304,-0.00030305967
Country_Romania,0.0010690955,0.00044601643
Problems with accommodation - rot in windows etc.,0.001012175,-0.0004231419
How much tension between groups with different sexual orientation?,0.0009910497,6.830826e-05
Can afford to have friends or family for a drink/meal at least once a month?,0.00086191966,0.00033138398
Phone/internet contact with neighbours,0.00085247285,0.0004166583
Direct contact with neighbours,0.00083928474,0.0004756999
Can afford to replace any worn-out furniture?,0.00083744637,3.4055356e-05
How much tension between different racial/ethnic groups?,0.00083360204,4.8029724e-05
Household size,0.00082115055,-9.5720505e-05
Country_Serbia,0.00072535634,7.683511e-06
Country_Germany,0.00070071995,-0.00019119102
How much tension between different religious groups?,0.00059404416,4.3020204e-06
Problems with accommodation - damp or leaks,0.00042290395,-6.7235e-05
Country_Luxembourg,0.000386764,0.00017076013
