Questions,Value,Direction
Health condition,0.21837923,0.014786254
I generally feel that what I do in life is worthwhile,0.13475041,-0.01000434
How satisfied with education?,0.12928899,-0.0061104493
Can't find the way because life has become so complicated?,0.12517135,-0.005352375
I feel I am free to decide how to live my life,0.11550355,-0.0067463294
I am optimistic about the future,0.10262653,0.008993962
Deprivation index: No. of items hhold can't afford,0.09665572,0.0011922761
Quality of education system?,0.095577426,-0.0009944376
Household able to make ends meet?,0.091171816,0.002534011
Personal financial situation,0.06551759,0.0018732195
Marital status,0.06325109,-0.0071687214
How much trust the police?,0.060588174,-0.0038229425
I seldom have time to do the things I really enjoy,0.05228632,-0.0033368107
The value of what I do is not recognised by others?,0.04841626,0.0015776356
Can most people be trusted?,0.038646314,0.0027490056
Neighbourhood problems - traffic,0.036752593,0.0004082184
Access to recreational or green areas?,0.03593169,-0.0011486751
Quality of long term care services?,0.029202472,0.0020337328
Direct contact with other relatives,0.028591309,0.0004768964
Quality of health services?,0.027883463,0.002398192
Feel left out of sociey?,0.02636294,-0.0016516538
Quality of public transport?,0.025367817,-0.00047001103
Phone/internet contact with other relatives,0.025227787,0.00090919633
Quality of child care services?,0.024289548,-0.0015617136
A person to get advice from about a personal/family matter,0.021707091,0.00019626832
How many hours per week would you prefer to work at present?,0.021363327,0.00037881496
How often care for your children?,0.020389047,-0.00026564696
Neighbourhood problems - quality of drinking water,0.020076914,-0.0019009302
Neighbourhood problems - air quality,0.019389536,0.00045197425
Quality of social/municipal housing?,0.019375619,0.00078246323
As much time as would like on own hobbies/interests?,0.01892524,0.0004725959
How much tension between Poor and Rich?,0.018771209,0.0007035671
Quality of state pension system?,0.017790597,0.0019311531
Financial situation of your household compared to 12 months ago?,0.017389812,-0.00024445826
Country_Kosovo,0.017311418,0.0029224188
How frequently participate in social activities?,0.01714869,-0.0007391843
How much trust the legal system?,0.016400604,0.0015171686
Difficult to see a doctor because of cost?,0.016001906,0.0027342837
A person to get support from when feeling depressed,0.015189928,-0.0008425191
Phone/internet contact with parents,0.013812671,-0.00053646317
How much trust the press?,0.013752568,-0.000109582
As much time as would like with others (not family)?,0.012658913,-0.00022244069
Country_Poland,0.012183815,-0.0015347028
No. of children,0.011948598,0.00062982243
Chronic health problems?,0.011469721,-0.00012503235
Education completed,0.011052122,-0.0005213558
Difficult to see a doctor because of lack of time?,0.009873745,-0.00022839164
Household size - over 18,0.009477702,0.00016352149
Household structure,0.0094628725,-0.0005328701
Rural/urban living,0.008684532,0.0009694947
How often care for elderly or disabled relatives?,0.008585081,-0.00015417213
No. of problems with accommodation,0.008340926,0.0008918697
Country_France,0.008088124,-5.3033214e-05
How much trust the parliament?,0.0077541694,0.0005642659
Feel close to people in the area where I live,0.007620363,-0.00067643163
Country_Montenegro,0.0074861036,0.0010478178
Direct contact with neighbours,0.0068951994,0.0003579037
Likelihood of leaving accom within 6 months,0.0067009036,0.0001733027
Neighbourhood problems - litter or rubbish,0.006661356,-0.0003677815
Country_Czech Republic,0.0064203907,-0.00029855737
Tenure,0.0063479445,-2.5466774e-05
How frequently take part in sports or exercise?,0.005724195,0.00037480748
How much tension between Management and Workers?,0.005662958,-0.0005037722
How much trust the local authorities?,0.0056177513,0.0010225462
A person to get support from to raise emergency money,0.005595878,0.00036641638
Long term care used in 12 months - don't know,0.005591065,0.0006583913
Gender,0.0054149698,-2.5830932e-05
Age,0.0051392764,0.0004575541
"Utility bills, such as electricity, water, gas",0.0049762917,0.000815535
People look down on me because of my job situation or income?,0.004916555,0.0010984093
Country_Cyprus,0.0046478803,0.00024593165
Country_Portugal,0.0045292606,0.0004284831
How much trust the government?,0.004484673,0.0010021777
Direct contact with children,0.0040700114,-8.906362e-05
Difficult to see a doctor because of distance?,0.0037393714,-0.00044951186
"Access to cinema, theatre and cultural centre?",0.0036570872,-0.00015840506
The share of housework you do is?,0.0036158827,-0.00024644515
"Can afford to buy new, rather than second-hand, clothes?",0.0031431299,-0.00013600322
Can afford to pay for a week's annual holiday away?,0.003123087,0.00017399726
Problems with accommodation - no toilet,0.003038943,4.730501e-05
Country_UK,0.0030322855,0.00091801886
Can afford a meal with meat/chicken/fish every second day?,0.0029955055,2.200943e-05
Problems with accommodation - rot in windows etc.,0.0028712945,1.3767946e-05
How much tension between Old and Young people?,0.0026376217,-0.00020106448
Phone/internet contact with children,0.0025835147,7.4764e-05
How frequently attend religious services?,0.0025387767,0.00043127712
Direct contact with parents,0.002420796,-0.0001192451
Access to banking services?,0.0023907595,0.00023661483
No. of rooms in accommodation,0.0023651328,0.00021141539
Country_Turkey,0.0022942747,-0.00018788959
Household financial expectations for th 12 months?,0.0022604945,0.00016508512
Phone/internet contact with neighbours,0.0022395165,-0.00029122786
Difficult to see a doctor because of delay in getting appointment?,0.0022301492,6.446412e-06
A person to get support from to help around house ,0.002107763,3.281859e-05
Country_Malta,0.0020851633,-0.00038015845
As much time as would like with family members?,0.0020224424,-1.933142e-05
How much tension between different religious groups?,0.0019426865,-0.00032489578
A person to get support from when looking for a job,0.001941448,-0.00021902118
Problems with accommodation - space,0.0018206814,-7.3575815e-05
I or someone else in household used long term care in 12 months,0.001723361,-0.0003328049
Difficult to see a doctor because of waiting time?,0.0016721077,9.9077246e-05
Payments for consumer loans/credit cards,0.0016244089,0.00019571367
Country_Hungary,0.0015139533,-0.000362576
Nobody used child care in 12 months,0.0014567461,-0.00018285049
How frequently use the Internet other than for work?,0.0014165145,0.00011810617
Neighbourhood problems - noise,0.0013281623,0.00016983386
Problems with accommodation - damp or leaks,0.0013230266,0.00022866148
Country_Slovenia,0.0012972086,-4.0294122e-05
Rent/mortgage payments for accommodation,0.0012969399,0.00015823342
As much time as would like on voluntary work?,0.0012017034,7.6294025e-05
Can afford to replace any worn-out furniture?,0.0011980948,0.00023752419
Income quartiles,0.0011831379,0.00023536122
How often cook and doing housework?,0.0011277124,-0.00023337996
Payments for informal loans from friends/relatives,0.0010893069,0.00025352923
Access to postal services?,0.0010747928,-0.00020939279
Employment - 7 groups,0.0010474457,0.0001500082
"Neighbourhood problems - crime, violence or vandalism",0.0009787348,-9.179186e-05
Can afford to keep home adequately warm?,0.00090402446,0.00016238749
Country group,0.00082497654,-0.00011736865
I or someone else in household used child care in 12 months,0.00079973787,0.00018501507
How much tension between Men and Women?,0.00064151216,0.00013132367
Country_Macedonia (FYROM),0.0006312794,1.0136091e-05
Can afford to have friends or family for a drink/meal at least once a month?,0.00059756625,-1.391043e-05
How much tension between different racial/ethnic groups?,0.00049426814,7.325564e-05
Child care used in 12 months - don't know,0.00044906206,-7.7191864e-05
Citizenship - Country,0.00044168354,0.00019598508
Country_Belgium,0.00041788607,-2.6424415e-05
Access to public transport?,0.00024637912,-1.2096354e-05
Country_Luxembourg,0.00019493568,4.7954632e-05
DV: Rural/urban living,0.00018927486,1.3790556e-05
Household size,0.0001752299,7.865246e-06
Problems with accommodation - no outside space,0.0001082899,-3.8287602e-05
Education - 3 groups,0.0,0.0
Citizenship - Another EU member,0.0,0.0
Citizenship - A non-EU country,0.0,0.0
Problems with accommodation - no bath/shower,0.0,0.0
Long term care used in 12 months - refusal,0.0,0.0
How much tension between groups with different sexual orientation?,0.0,0.0
Someone close outside household used long term care in 12 months,0.0,0.0
Child care used in 12 months - refusal,0.0,0.0
Someone close outside household used child care in 12 months,0.0,0.0
Nobody used long term care in 12 months,0.0,0.0
Volunteering frequency,0.0,0.0
Country_Bulgaria,0.0,0.0
Country_Denmark,0.0,0.0
Country_Latvia,0.0,0.0
Country_Italy,0.0,0.0
Country_Ireland,0.0,0.0
Country_Iceland,0.0,0.0
Country_Germany,0.0,0.0
Country_Greece,0.0,0.0
Country_Estonia,0.0,0.0
Country_Finland,0.0,0.0
Country_Croatia,0.0,0.0
Country_Lithuania,0.0,0.0
Country_Netherlands,0.0,0.0
Country_Romania,0.0,0.0
Country_Slovakia,0.0,0.0
Country_Serbia,0.0,0.0
Country_Sweden,0.0,0.0
Country_Spain,0.0,0.0
