Questions,Value,Direction
Health condition,0.17814122213325373,0.01116759468556674
I generally feel that what I do in life is worthwhile,0.16724443621880697,-0.014609214384256951
Household able to make ends meet?,0.1525770952023205,0.0011806382388664697
How satisfied with education?,0.14645627701030633,-0.008632111461000205
Deprivation index: No. of items hhold can't afford,0.13751164302670243,-0.0005987682692836691
Quality of education system?,0.11337783808160125,-0.0017571738545632204
Can't find the way because life has become so complicated?,0.11169949499971053,0.0028497964215958432
I feel I am free to decide how to live my life,0.10693149389356303,-0.005942134369095079
I am optimistic about the future,0.0889036744023818,0.009300384554873637
How much trust the police?,0.06130487777636645,-0.0054811455292447684
Personal financial situation,0.044287117536573224,0.004817647414289192
Can most people be trusted?,0.040633841996680874,-0.0021578996679408055
I seldom have time to do the things I really enjoy,0.039293310959455235,-0.005202839395747462
The value of what I do is not recognised by others?,0.036913456335378236,-0.0007950362742092096
Quality of health services?,0.034962637252818354,0.00044042279516599516
Marital status,0.03428968120159343,-0.0032721433202310755
Quality of child care services?,0.03360297584375239,-0.006039104806236284
Feel left out of sociey?,0.03333106841673484,-0.0019565417791170985
Neighbourhood problems - traffic,0.02871490988195254,-0.00036101925691941534
Quality of public transport?,0.026662733490762272,-0.0014618152466032016
Phone/internet contact with other relatives,0.025937509663344304,-0.0024715261377016465
Quality of long term care services?,0.024538181025288895,0.0003670891602285925
Access to recreational or green areas?,0.02376553088244386,-0.0018155019281799257
A person to get support from when feeling depressed,0.022195158450011656,-0.0027768200377857
Difficult to see a doctor because of cost?,0.021174880204876893,0.0007358087990437979
Neighbourhood problems - air quality,0.021137338826597775,0.00028420558665833925
Neighbourhood problems - quality of drinking water,0.021096299704165218,-0.0023875780193427874
Access to public transport?,0.020982367618892262,-0.0015123761941765635
People look down on me because of my job situation or income?,0.020563007693365023,-0.0011676669958004353
Direct contact with other relatives,0.02027150759822035,-0.0013833551392139372
How often care for your children?,0.019766820193614688,-0.001474229097666183
Neighbourhood problems - litter or rubbish,0.01942625871576435,-0.0008187283754189681
Quality of state pension system?,0.01920432203202279,-0.0037666010326518917
Phone/internet contact with parents,0.01877371267774305,-0.001427592663112527
Quality of social/municipal housing?,0.017368954673636104,-0.0012512547687690636
Financial situation of your household compared to 12 months ago?,0.01647184083156961,-0.0005972401211585634
How many hours per week would you prefer to work at present?,0.015521681455135508,-0.001485426882175974
How much trust the legal system?,0.015493166664728376,-0.00018349176903967033
How much trust the local authorities?,0.014823983520799883,0.0017002516055179553
Neighbourhood problems - noise,0.014149518357851422,-0.0019212434818734019
How much trust the parliament?,0.013975218904059623,-0.0012160121215930542
