Country,Marital status,No. of children,Education completed,Rural/urban living,Citizenship - Country,Citizenship - Another EU member,Citizenship - A non-EU country,Age,Gender,Household size,Household size - over 18,Household structure,Education - 3 groups,Employment - 7 groups,Income quartiles,DV: Rural/urban living,Country group,Direct contact with children,Direct contact with parents,Direct contact with other relatives,Direct contact with neighbours,Phone/internet contact with children,Phone/internet contact with parents,Phone/internet contact with other relatives,Phone/internet contact with neighbours,Health condition,Chronic health problems?,Tenure,No. of problems with accommodation,Access to postal services?,Access to banking services?,Access to public transport?,"Access to cinema, theatre and cultural centre?",Access to recreational or green areas?,Quality of health services?,Quality of education system?,Quality of public transport?,I or someone else in household used child care in 12 months,I or someone else in household used long term care in 12 months,Can most people be trusted?,How much trust the government?,How frequently attend religious services?,How frequently use the Internet other than for work?,How frequently take part in sports or exercise?,How frequently participate in social activities?,Feel left out of sociey?,Feel close to people in the area where I live,Personal financial situation,Household able to make ends meet?,I am optimistic about the future,I generally feel that what I do in life is worthwhile,I feel I am free to decide how to live my life,I seldom have time to do the things I really enjoy,How satisfied with education?,How satisfied with present standard of living?,How satisfied with accommodation?,How satisfied with family life?,How satisfied with health?,How satisfied with social life?,How satisfied with economic situation in the country?,How happy are you?,How often care for your children?,How often cook and doing housework?
15,3,0,3,2,2,1,1,5,1,1,1,1,2,4,4,1,2,6,6,2,4,6,6,2,5,1,2,1,0,3,3,3,1,3,10,10,10,1,1,1,1,2,5,5,5,4,3,4,3,4,2,2,4,5,8,10,10,10,10,1,10,5,1
15,4,0,4,3,2,1,1,2,1,1,1,1,2,1,2,2,2,6,1,2,2,6,1,2,2,3,2,2,0,4,3,3,3,3,7,7,7,1,1,2,1,5,1,1,5,5,3,3,4,4,1,1,4,8,8,10,9,9,9,1,9,3,1
15,4,0,6,3,2,1,1,3,1,1,1,1,3,1,3,2,2,6,1,6,1,6,1,6,5,1,2,1,1,4,4,4,4,4,8,6,7,1,1,2,4,5,1,1,3,5,2,3,2,3,1,1,2,8,8,7,8,8,8,8,8,5,1
15,4,0,4,4,2,1,1,3,1,1,1,1,2,1,3,2,2,6,1,6,1,6,1,6,1,1,2,3,1,3,3,5,5,5,5,7,7,1,1,8,5,5,2,2,5,4,3,4,3,2,1,1,1,8,7,5,6,9,9,7,8,5,1
15,4,0,4,2,2,1,1,1,1,1,1,1,2,2,4,1,2,6,1,1,1,6,1,1,3,2,2,1,2,1,2,1,2,2,1,2,1,1,1,3,1,4,2,5,4,4,2,2,5,5,3,2,1,10,5,7,8,8,8,1,8,5,5
15,4,0,6,2,2,1,1,2,1,1,1,1,3,1,3,1,2,6,6,1,2,6,6,2,4,2,2,3,0,3,3,3,3,3,5,5,5,1,1,9,4,5,1,2,5,5,1,3,3,3,2,1,4,9,7,8,9,9,9,2,8,5,1
6,4,0,6,2,2,1,1,3,1,1,1,1,3,1,4,1,2,6,2,6,1,6,1,6,1,2,2,4,2,4,4,1,2,3,9,4,5,1,1,8,5,5,4,2,3,3,2,4,2,3,3,2,4,9,8,8,5,7,7,6,7,5,1
6,4,0,4,2,2,1,1,3,1,1,1,1,2,1,3,1,2,6,4,1,1,6,3,2,4,3,1,3,0,2,3,3,2,4,3,4,6,1,1,3,3,4,1,1,3,5,1,3,2,4,2,2,1,8,8,8,6,4,8,5,8,5,1
6,4,0,3,2,2,1,1,2,1,1,1,1,2,1,4,1,2,6,4,4,1,6,4,4,2,1,2,4,0,3,3,3,3,3,8,8,7,1,1,3,2,5,1,2,3,5,4,3,3,2,2,1,2,7,8,5,8,9,8,5,9,5,3
6,4,0,3,3,2,1,1,3,1,1,1,1,2,1,2,2,2,6,6,1,2,6,6,1,2,3,2,4,1,2,2,3,3,3,5,5,5,1,2,3,1,3,5,5,2,5,4,3,4,3,3,1,3,2,5,5,3,3,2,3,5,5,2
6,4,0,3,3,2,1,1,1,1,1,1,1,2,1,1,2,2,6,2,2,1,6,2,3,1,2,2,3,2,3,3,3,3,3,7,7,8,1,1,7,5,5,1,2,2,5,3,2,4,2,2,1,5,3,6,7,5,7,8,6,7,5,1
6,4,0,6,3,2,1,1,3,1,1,1,1,3,7,4,2,2,6,1,2,1,6,2,2,2,1,2,1,0,3,3,3,3,4,8,8,7,1,1,8,3,5,1,2,2,5,2,4,2,2,2,1,4,10,8,8,6,8,6,7,7,5,2
6,4,0,5,4,2,1,1,3,1,1,1,1,2,1,4,2,2,6,2,3,2,6,2,2,1,2,2,2,0,3,3,3,3,3,7,7,4,1,1,4,1,4,1,2,2,5,1,4,3,2,2,1,5,7,7,9,5,7,8,5,8,5,3
12,4,0,6,3,2,1,1,1,2,4,4,5,3,1,2,2,2,6,1,1,1,6,1,2,1,3,1,2,0,2,3,2,3,2,6,4,5,1,1,7,6,4,1,2,3,3,2,4,4,3,1,5,2,8,8,8,7,6,7,4,8,5,1
12,4,0,6,3,2,1,1,2,2,1,1,1,3,1,2,2,2,6,2,3,2,6,2,3,2,3,1,3,4,3,3,3,3,3,8,7,7,1,1,6,5,5,1,3,3,4,3,4,4,1,1,1,3,7,6,6,7,6,5,2,6,5,2
12,4,0,6,3,2,1,1,1,1,1,1,1,3,1,3,2,2,6,3,3,1,6,5,2,1,1,2,3,1,5,2,5,4,4,4,6,7,1,1,8,4,5,1,2,5,4,5,4,2,4,1,4,1,7,7,8,10,10,8,4,8,5,1
12,4,0,4,4,2,1,1,3,1,1,1,1,2,1,2,2,2,6,4,2,2,6,2,3,5,2,2,4,1,4,4,4,5,4,6,6,8,1,1,6,5,5,5,2,5,5,4,3,1,4,2,1,5,3,8,8,8,8,7,6,10,5,1
12,4,0,4,3,2,1,1,3,1,1,1,1,2,1,1,2,2,6,2,3,1,6,1,4,1,2,2,2,2,2,5,5,5,5,4,4,7,1,1,5,1,5,3,4,4,2,4,2,6,5,5,4,5,3,3,10,10,7,8,1,5,5,1
12,4,0,4,4,2,1,1,3,1,1,1,1,2,1,3,2,2,6,3,4,3,6,1,3,4,2,2,3,2,3,3,3,3,3,6,6,8,1,1,10,6,5,1,3,5,5,3,3,5,1,1,4,4,8,6,6,8,8,8,3,7,5,2
12,4,0,6,3,2,1,1,1,2,1,1,1,3,6,1,2,2,6,2,3,1,6,5,2,1,2,2,3,1,1,1,3,1,3,4,4,6,1,1,2,2,5,1,4,5,5,4,3,5,2,1,1,1,3,3,5,7,7,8,5,8,5,1
12,4,0,6,3,2,1,1,3,2,1,1,1,3,1,3,2,2,6,3,3,3,6,2,4,3,1,2,2,0,3,3,2,2,3,7,7,7,1,2,3,1,5,1,3,5,5,5,3,4,4,2,3,1,7,6,8,8,10,8,1,8,5,1
12,2,2,4,3,2,1,1,3,2,1,1,1,2,1,3,2,2,1,2,3,1,1,2,3,2,2,2,2,1,3,3,3,3,3,8,8,8,1,1,7,5,5,1,5,3,5,2,3,4,2,2,1,4,8,7,7,7,8,8,6,7,1,1
12,4,0,4,3,2,1,1,3,1,1,1,1,2,1,2,2,2,6,5,5,1,6,5,5,2,2,2,3,2,3,3,5,1,3,7,5,7,1,1,7,2,5,1,5,5,5,2,3,2,5,2,2,4,9,7,8,9,9,9,3,9,5,1
12,4,0,4,3,2,1,1,2,1,1,1,1,2,2,1,2,2,6,3,3,3,6,3,4,2,1,2,2,0,4,4,4,4,4,8,6,10,1,1,4,5,5,1,1,2,3,3,3,4,2,1,2,4,8,8,8,4,9,6,5,7,5,1
15,2,1,4,2,2,1,1,3,1,1,1,1,2,1,4,1,2,2,1,3,1,1,1,2,2,2,2,1,0,3,3,3,3,3,8,8,8,1,1,8,8,5,2,4,4,4,3,3,3,3,2,2,2,7,7,7,7,8,7,7,7,2,1
15,2,1,4,2,2,1,1,3,1,1,1,1,2,1,3,1,2,1,3,2,3,1,3,3,1,2,2,2,2,3,3,3,3,3,9,8,6,1,1,7,2,3,2,3,3,4,3,3,3,3,2,2,1,8,5,6,5,8,7,3,7,2,1
27,4,0,2,4,1,1,2,1,1,3,3,5,1,1,2,2,2,6,6,2,2,6,6,1,2,2,2,4,2,3,2,4,5,3,6,5,3,1,1,3,1,4,1,3,2,4,2,4,4,2,1,1,4,6,7,8,9,10,3,1,6,5,3
27,1,2,6,4,2,1,1,3,1,4,4,5,3,1,3,2,2,1,1,5,4,5,5,3,4,3,1,2,2,2,1,2,3,4,5,3,6,2,1,6,1,5,1,4,5,3,5,2,5,4,3,5,2,1,2,6,2,5,1,1,4,1,1
27,4,0,6,4,2,1,1,1,1,3,3,5,3,1,4,2,2,6,1,4,2,6,1,3,1,2,2,5,0,4,3,4,3,4,9,8,8,1,1,7,4,5,1,2,2,4,3,4,2,2,1,2,4,9,8,9,8,9,8,6,7,5,2
27,4,0,3,4,2,1,1,1,1,4,4,5,2,1,3,2,2,6,1,1,1,6,6,6,1,2,2,2,0,3,3,3,4,2,9,10,6,1,1,8,7,5,1,2,4,4,3,3,3,2,2,2,4,10,10,10,10,10,10,7,10,5,2
27,4,0,6,3,2,1,1,1,2,4,4,5,3,1,4,2,2,6,6,6,1,6,6,6,1,1,2,2,1,3,3,4,3,3,8,8,8,1,1,8,8,2,1,1,2,4,2,4,1,2,2,2,4,10,10,10,10,10,10,1,8,5,3
27,1,3,3,2,2,1,1,3,1,4,4,4,2,1,2,1,2,6,4,3,2,6,2,2,2,3,1,4,0,3,3,2,3,3,8,8,5,1,1,6,5,5,5,5,5,3,2,3,4,3,2,1,3,8,6,8,9,5,5,4,6,5,1
27,2,1,3,2,2,1,1,2,1,1,1,1,2,3,1,1,2,2,1,3,1,2,1,2,5,3,1,4,1,4,3,3,2,3,10,10,10,1,1,5,5,5,5,1,5,4,4,2,3,1,3,1,5,10,10,10,10,8,7,1,5,3,1
27,4,0,6,4,2,1,1,1,1,4,4,5,3,1,4,2,2,6,4,4,1,6,2,3,1,1,2,3,0,4,4,3,4,3,8,9,9,1,1,7,8,5,1,2,2,5,4,3,1,1,1,1,1,9,9,8,10,10,8,8,8,4,4
27,4,0,6,3,2,1,1,1,1,4,4,5,3,2,4,2,2,6,6,2,2,6,6,1,1,1,2,2,1,3,3,4,3,5,7,8,9,1,1,7,5,1,1,2,2,3,2,4,2,2,1,2,2,10,8,8,10,10,10,5,8,5,1
27,1,0,5,4,2,1,1,2,1,2,2,2,2,1,2,2,2,6,4,4,5,6,2,2,1,3,2,3,2,3,3,3,2,3,9,7,8,1,1,3,2,5,1,1,5,4,2,3,4,2,1,3,4,10,7,8,10,7,8,5,9,5,2
12,2,5,4,4,2,1,1,4,1,1,1,1,2,1,4,2,2,3,2,2,1,2,2,2,1,3,1,1,0,3,2,3,3,4,8,3,4,1,1,5,1,3,1,2,1,5,2,3,4,4,2,4,2,7,5,10,2,3,10,1,5,3,3
6,2,2,3,3,2,1,1,3,1,1,1,1,2,2,1,2,2,1,1,4,1,2,2,4,2,3,1,4,1,2,3,4,5,4,8,3,7,1,1,1,5,4,2,4,5,4,1,3,3,4,3,5,4,6,3,8,7,3,6,5,7,2,1
12,1,0,6,3,2,1,1,2,1,2,2,2,3,1,4,2,2,6,2,2,2,6,3,3,2,3,2,3,1,3,3,5,3,4,9,7,7,1,1,8,5,5,1,3,3,5,2,4,4,4,1,2,2,8,8,8,10,6,8,6,8,5,2
6,2,2,2,2,2,1,1,3,1,1,1,1,1,2,1,1,2,3,1,3,1,3,2,4,2,4,1,4,1,2,2,3,5,2,5,5,5,1,1,5,2,5,5,5,5,4,3,2,6,5,5,4,4,1,1,2,2,3,3,2,4,5,1
15,4,0,6,2,2,1,1,2,1,1,1,1,3,1,4,1,2,6,2,2,2,6,2,2,2,1,2,2,0,2,2,2,2,2,6,6,5,1,1,6,7,4,2,2,2,4,3,4,1,2,2,2,3,8,7,6,6,8,7,6,7,5,2
15,2,0,4,3,1,2,1,3,1,1,1,1,2,1,3,2,2,6,4,4,2,6,3,3,4,2,2,3,2,3,3,2,3,3,6,6,6,1,1,6,1,4,3,4,4,4,4,4,3,4,4,3,4,4,4,5,5,7,5,5,6,5,3
12,2,2,4,4,2,1,1,3,2,1,1,1,2,1,3,2,2,1,1,6,1,1,1,6,1,2,2,2,0,3,3,3,3,3,8,7,8,1,1,5,5,5,2,4,5,2,1,4,4,4,2,5,2,7,7,8,9,10,8,6,8,1,1
6,4,0,6,4,2,1,1,3,1,1,1,1,3,1,1,2,2,6,2,2,1,6,1,1,1,1,2,2,0,1,3,4,4,4,7,7,10,1,1,5,8,4,4,3,5,5,5,3,3,1,3,1,5,10,10,10,6,10,10,10,8,5,1
6,4,0,5,2,2,1,1,3,1,1,1,1,2,1,4,1,2,6,1,3,1,6,1,2,1,1,2,3,0,2,3,3,2,4,6,8,4,1,1,4,6,5,1,2,5,4,4,4,3,1,2,1,2,9,7,4,6,10,9,2,8,5,3
12,1,0,4,4,2,1,1,2,1,2,2,2,2,1,4,2,2,6,1,3,2,6,2,3,4,2,2,2,0,3,3,3,3,4,7,7,7,1,2,5,4,5,1,2,4,5,2,3,4,2,1,2,3,5,7,8,9,7,8,5,7,5,1
6,4,0,5,3,2,1,1,3,1,1,1,1,2,1,4,2,2,6,2,2,1,6,2,2,1,2,2,3,0,4,4,4,4,4,8,6,8,1,1,5,4,5,1,4,3,5,3,3,2,1,1,2,3,9,8,8,8,8,8,8,9,5,2
12,1,1,4,2,2,1,1,1,2,2,2,2,2,5,3,1,2,1,1,4,3,5,1,3,1,3,1,3,1,3,3,4,4,4,8,7,8,1,2,4,7,4,1,1,5,3,3,3,6,3,2,3,3,10,6,9,10,7,8,5,6,1,1
12,4,0,6,3,2,1,1,2,2,2,2,5,3,2,4,2,2,6,1,1,1,6,1,1,1,2,1,5,1,2,2,5,3,3,2,1,4,1,2,7,1,5,1,2,4,4,1,3,5,5,1,3,3,4,1,10,7,9,9,1,8,5,1
15,4,0,7,4,2,1,1,3,1,1,1,1,3,1,4,2,2,6,5,5,4,6,5,5,4,1,2,2,0,2,2,1,1,3,3,3,3,1,1,6,2,5,5,1,5,5,2,3,5,2,1,2,4,10,6,6,6,7,6,5,7,5,1
15,2,0,6,4,2,1,1,3,1,1,1,1,3,1,3,2,2,6,4,4,2,6,2,2,1,3,2,6,1,3,3,2,3,3,6,7,3,1,1,6,3,5,1,2,3,5,3,4,3,3,2,1,3,10,7,6,6,7,9,5,8,5,2
15,2,1,4,4,2,1,1,3,1,1,1,1,2,1,3,2,2,2,1,2,2,1,2,2,2,2,2,1,0,3,3,2,3,3,6,7,3,2,1,8,5,4,1,2,4,5,3,3,3,3,2,3,3,8,8,8,7,8,8,5,7,2,2
6,1,0,5,4,2,1,1,3,1,2,2,2,2,1,4,2,2,6,3,3,1,6,3,3,1,2,2,3,0,3,3,3,3,4,6,5,6,1,1,5,1,5,1,2,5,5,1,4,1,3,1,1,5,8,10,10,10,10,10,4,9,5,2
